state,name,college_readiness_score,tested_ap,passed_ap,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient
Arizona,Choice Education And Development Corporation - Learning Cros,N/A,N/A,N/A,N/A,N/A,N/A,2.6,73%,27%
Arizona,Choice Education And Development Corporation - Sequoia Chart,N/A,N/A,N/A,1.9,36%,64%,2.8,72%,28%
Arizona,Choice Education And Development Corporation Dba Arizona Con,N/A,N/A,N/A,2.6,67%,33%,3,91%,9%
Arizona,Cholla Academy,N/A,N/A,N/A,1.9,33%,67%,2.8,82%,18%
Arizona,Cochise Community Development Corporation,N/A,N/A,N/A,2,31%,69%,2.8,74%,26%
Arizona,Coconino County Regional Accommodation Sd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Colorado City Unified District,N/A,N/A,N/A,2.5,61%,39%,2.9,85%,15%
Arizona,Colorado River Union High School District,3.4,9%,1.60%,2.4,58%,42%,2.9,85%,15%
Arizona,Compass High School Inc.,N/A,N/A,N/A,1.5,19%,81%,2.6,68%,32%
Arizona,Compass Points International Inc,N/A,N/A,N/A,2.2,45%,55%,2.9,82%,18%
Arizona,Coolidge Unified District,6.6,21%,1.80%,1.9,37%,63%,2.6,67%,33%
Arizona,Cornerstone Charter School Inc,N/A,N/A,N/A,1.3,8%,92%,2.4,51%,49%
Arizona,Country Gardens Charter Schools,N/A,N/A,N/A,2.9,70%,30%,3.1,100%,0%
Arizona,Cplc Community Schools Dba Hiaki High School,N/A,N/A,N/A,1.6,15%,85%,2.4,50%,50%
Arizona,Cplc Community Schools Dba Toltecalli High School,N/A,N/A,N/A,1.4,10%,90%,2.1,29%,71%
Arizona,Daisy Education Corporation Dba Sonoran Science Academy,58.3,93%,46.70%,3.2,87%,13%,3.1,90%,10%
Arizona,Deer Valley Charter Schools Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Deer Valley Unified District,15.8,21%,14.20%,2.8,72%,28%,3,91%,9%
Arizona,Desert Rose Academy Inc.,N/A,N/A,N/A,1.7,29%,71%,2.6,64%,36%
Arizona,Douglas Unified District,4.7,11%,2.80%,2.3,50%,50%,2.8,81%,19%
